"user_id","status_id","lng","lat"
"917728134","1301264884710223873",NA,NA
"567700176","1301264884689178624",NA,NA
"2054101","1301264884676456448",NA,NA
"624910229","1301264884663951361",NA,NA
"357671429","1301264884651511809",NA,NA
"40931254","1301264884647292930",NA,NA
"3755933775","1301264884605345794",NA,NA
"990413893","1301264884601061382",NA,NA
"889900758040227840","1301264884584321024",NA,NA
"495090662","1301264884575985664",NA,NA
"767835700183969793","1301264884571791361",NA,NA
"1176170660177031168","1301264884555014146",NA,NA
"780756837595426816","1301264884554960904",NA,NA
"275325721","1301264884538241025",-77.2369685,38.8051145
"892418464551493632","1301264884517277697",NA,NA
"1616154788","1301264884517265408",NA,NA
"247937370","1301264884517220352",NA,NA
"4399151308","1301264884500508680",NA,NA
"817565310043770881","1301264884492050432",NA,NA
"949439052","1301264884491984896",NA,NA
"1225494927519338496","1301264884487786496",NA,NA
"199034457","1301264884475351040",NA,NA
"1053898018087464960","1301264884416614401",NA,NA
"952649484","1301264884412362752",NA,NA
"1284275019468754944","1301264884399837186",NA,NA
"2469885776","1301264884399828999",NA,NA
"859571091219591168","1301264884370464770",NA,NA
"285917596","1301264884366180355",NA,NA
"1291968845465477120","1301264884362104835",NA,NA
"2430478981","1301264884357791746",NA,NA
"1214635691918987266","1301264884332728320",NA,NA
"1262633503801389061","1301264884332720128",NA,NA
"1131698228557168642","1301264884324278272",NA,NA
"838466378692714498","1301264884315938816",NA,NA
"69409666","1301264884315742209",NA,NA
"784169508705411072","1301264884290785280",NA,NA
"2444406696","1301264884290777088",NA,NA
"434549536","1301264884278026240",NA,NA
"168937719","1301264884253028352",NA,NA
"19774211","1301264884253024259",NA,NA
"236223254","1301264884244664322",NA,NA
"1035586423741706240","1301264884232003584",NA,NA
"1246070598561705985","1301264884185866242",NA,NA
"784942482","1301264884177477632",NA,NA
"880389176318992386","1301264884169158658",NA,NA
"1159203310731243521","1301264884160749574",NA,NA
"245658737","1301264884139778055",NA,NA
"3303313151","1301264884139724800",NA,NA
"52944876","1301264884131389441",NA,NA
"625176875","1301264884114489345",NA,NA
"1240069877701971968","1301264884101914624",NA,NA
"2550204518","1301264884097855488",NA,NA
"19864883","1301264884093587457",NA,NA
"3635303735","1301264884089401361",NA,NA
"383286715","1301264884081070082",NA,NA
"1221952687744438272","1301264884068478976",NA,NA
"280755196","1301264884018155520",NA,NA
"61153756","1301264884013953030",NA,NA
"1279860581848227840","1301264884009762820",NA,NA
"1301260434192896003","1301264884001366017",NA,NA
"3355435941","1301264883959431169",NA,NA
"889514669576245251","1301264883955240960",NA,NA
"1137024322126655488","1301264883951042560",NA,NA
"4836438975","1301264883896459269",NA,NA
"949440567229870080","1301264883896385536",NA,NA
"139169604","1301264883883716608",NA,NA
"1144039811856117761","1301264883879759873",NA,NA
"796748114438848512","1301264883879739392",NA,NA
"883702039452299264","1301264883875565570",NA,NA
"289031432","1301264883875491840",NA,NA
"1017358773780930561","1301264883871354881",NA,NA
"326420247","1301264883871289344",NA,NA
"65717838","1301264883862786050",NA,NA
"1782791","1301264883858706434",NA,NA
"1060233523188121600","1301264883854520320",NA,NA
"1105222875676585989","1301264883850326019",NA,NA
"61313010","1301264883850317826",NA,NA
"48565007","1301264883841859585",NA,NA
"348272485","1301264883825205248",NA,NA
"2842810448","1301264883820802048",NA,NA
"1081656731904688129","1301264883816820738",NA,NA
"1136232327326158848","1301264883812569088",NA,NA
"898890847391027201","1301264883808456704",NA,NA
"14922659","1301264883774820352",NA,NA
"841403144","1301264883774705665",NA,NA
"1157652464847523840","1301264883770683397",NA,NA
"127126239","1301264883762241537",NA,NA
"874828879101255680","1301264883757928448",NA,NA
"758751618175074304","1301264883745353729",NA,NA
"2598449275","1301264883741274112",-75.3864607,39.1450234
"728787328857165824","1301264883737075714",NA,NA
"1252697119","1301264883690938378",NA,NA
"167908033","1301264883690934273",NA,NA
"388876702","1301264883686703105",NA,NA
"309467836","1301264883678359552",NA,NA
"902169037731282944","1301264883674050561",NA,NA
"71952837","1301264883670044672",NA,NA
"1094867314821005312","1301264883661639680",NA,NA
"1282978586350112773","1301264883648884738",NA,NA
"1144377920791748608","1301264883644870660",NA,NA
"4390720036","1301264883644854272",NA,NA
"254526834","1301264883636412419",NA,NA
"1054512611616792577","1301264883632177154",NA,NA
"2463762466","1301264883623878657",NA,NA
"541833926","1301264883611303936",NA,NA
"62165377","1301264883602784256",NA,NA
"43100107","1301264883594403840",NA,NA
"1147666591192145920","1301264883586129923",NA,NA
"94408261","1301264883581964292",NA,NA
"815958408100802560","1301264883581943809",NA,NA
"19622736","1301264883573456911",NA,NA
"19685219","1301264883573456909",NA,NA
"246001316","1301264883569364992",NA,NA
"1268392280085295104","1301264883569233920",NA,NA
"350449729","1301264883556790273",NA,NA
"36091500","1301264883556605952",NA,NA
"322816651","1301264883548385291",NA,NA
"3027785095","1301264883527360512",NA,NA
"1268564298009370626","1301264883523244040",NA,NA
"53515217","1301264883506458624",NA,NA
"956283931","1301264883506393088",NA,NA
"1406910901","1301264883502272512",NA,NA
"776477933775032320","1301264883481280519",NA,NA
