OBJECTID_1,OBJECTID,TRACT,BLKGRP,GEOID,GID,TOTAL_AC,LAND_AC,T_CAN_AC,T_CAN_PCT,VEG_AC,VEG_PCT,BLD_AC,BLD_PCT,TO_IA_AC,TO_IA_PCT,ROAD_AC,ROAD_PCT,SWALK_AC,SWALK_PCT,OT_IA_AC,OT_IA_PCT,WAT_AC,WAT_PCT,SOIL_AC,SOIL_PCT,UTC_AC,UTC_PCT,PPA_V_AC,PPA_V_PCT,TO_PPA_AC,TO_PPA_PCT,PPA_IA_AC,PPA_IA_PCT,UN_IA_AC,UN_IA_PCT,TO_UN_AC,TO_UN_PCT,UN_SL_AC,UN_SL_PCT,UN_OT_AC,UN_OT_PCT,WATER_AC,WATER_PCT,UTC_AC06,UTC_PCT06,UTC_AC11,UTC_PCT11,PCT_CHG_06,PCT_CHG_11,SHAPEAREA,SHAPELEN
38,38,001302,1,110010013021,38,100.46,100.43,62.78,62.51120183,9.48,9.43941053,11.26,11.21178931,28.16,28.03943045,9.42,9.37966743,3.37,3.35557104,4.11,4.09240267,0.04,0.03689456,0,0,62.78,62.51120183,8.66,8.62292144,15.62,15.55312158,6.96,6.93020014,20.68,20.59145674,22.02,21.92571941,0,0,1.34,1.33426267,0.04,0.04,60.05,59.94210421,59.29,59.10676902,2.56909762,3.40443282,4375883.31529174,10695.8698438349
39,39,001902,1,110010019021,39,105.52,105.52,42.79,40.55155421,25.12,23.80591357,15.33,14.52805155,37.55,35.58567096,13.09,12.40523124,2.62,2.48294162,6.52,6.17892343,0,0,0.05,0.04738438,42.79,40.55155421,23.77,22.52653525,32.87,31.1504928,9.1,8.62395754,28.41,26.92380591,29.85,28.28847612,0,0,1.43,1.35519333,0,0,37.64,35.67096285,47.93,45.42266869,4.88059136,-4.87111448,4596128.57417421,9023.84031576338
40,40,001902,2,110010019022,40,113.96,113.96,28.2,24.74552475,29.31,25.71955072,19.75,17.33064233,56.45,49.53492453,22.65,19.87539488,4.87,4.27342927,9.18,8.05545806,0,0,0,0,28.2,24.74552475,23.74,20.83187083,33.45,29.35240435,9.71,8.52053352,42.39,37.1972622,52.32,45.91084591,0,0,9.92,8.7048087,0,0,27.39,24.03474903,31.8,27.9045279,0.71077571,-3.15900316,4963927.99179056,9996.28750381472
41,41,002001,1,110010020011,41,33.46,33.46,10.64,31.79916318,4.5,13.4488942,6.94,20.7411835,18.32,54.75194262,6.35,18.97788404,1.74,5.20023909,3.29,9.83263598,0,0,0,0,10.64,31.79916318,4.48,13.38912134,9.1,27.19665272,4.62,13.80753138,13.29,39.71906754,13.72,41.0041841,0,0,0.43,1.28511656,0,0,10.72,32.03825463,13.44,40.16736402,-0.23909145,-8.36820084,1457401.44140173,5898.79480298714
42,42,002001,2,110010020012,42,122.93,122.78,58.14,47.35298909,24.46,19.92181137,14.93,12.15996091,40.18,32.72519954,14.59,11.88304284,2.2,1.79182277,8.46,6.89037302,0.16,0.12844273,0,0,58.14,47.35298909,24.46,19.92181137,35.07,28.56328392,10.61,8.64147255,29.52,24.04300375,29.57,24.08372699,0,0,0.05,0.04072324,0.16,0.13,57.97,47.24916456,69.38,56.47997395,0.10382453,-9.12698486,5354549.04253882,12155.6244889491
43,43,002002,1,110010020021,43,84.89,84.89,26.5,31.21686889,15.44,18.18824361,15.24,17.9526446,42.85,50.477088,16.03,18.88326069,3.27,3.85204382,8.31,9.78913889,0,0,0.1,0.11779951,26.5,31.21686889,14.94,17.59924608,26.31,30.99304983,11.37,13.39380375,31.27,36.83590529,32.07,37.77830133,0.1,0.11779951,0.71,0.83637649,0,0,26.11,30.76107446,35.3,41.58812441,0.45579443,-10.37125552,3697236.90382023,11762.9139693826
108,108,004100,1,110010041001,108,24.92,24.92,4.95,19.8635634,1.54,6.17977528,8.74,35.07223114,18.44,73.99678973,4.95,19.8635634,1.3,5.21669342,3.44,13.80417335,0,0,0,0,4.95,19.8635634,1.52,6.09951846,6.07,24.35794543,4.55,18.25842697,13.69,54.93579454,13.9,55.77849117,0,0,0.21,0.84269663,0,0,4.01,16.09149278,5.12,20.54574639,3.77207063,-0.68218299,1085503.7835687,4335.99115257942
109,109,004100,2,110010041002,109,75.06,74.1,41.53,56.04588394,4.81,6.49122807,10.47,14.12955466,27.76,37.46288799,8.02,10.82321188,1.76,2.37516869,7.5,10.12145749,0.96,1.27572016,0,0,41.53,56.04588394,4.73,6.38326586,13.31,17.96221323,8.59,11.59244265,18.42,24.8582996,19.26,25.99190283,0,0,0.83,1.12010796,0.96,1.28,38.29,52.12360468,39.02,52.83683142,3.92227926,3.20905253,3269312.4011376,9135.70244163779
110,110,002102,1,110010021021,110,41.26,41.26,11.66,28.2598158,9.03,21.88560349,8.16,19.77702375,20.57,49.85458071,7.52,18.22588463,1.41,3.41735337,3.48,8.43431895,0,0,0,0,11.66,28.2598158,9.03,21.88560349,13.92,33.73727581,4.89,11.85167232,15.68,38.00290839,15.68,38.00290839,0,0,0,0,0,0,9.86,23.89723703,13.09,31.72564227,4.36257877,-3.46582647,1797133.27109086,7810.05025747863
111,111,002102,2,110010021022,111,33.12,33.12,8.19,24.72826087,7.13,21.52777778,7.24,21.85990338,17.8,53.74396135,6.63,20.01811594,1.38,4.16666667,2.55,7.69927536,0,0,0,0,8.19,24.72826087,6.88,20.77294686,10.8,32.60869565,3.92,11.83574879,13.87,41.87801932,14.14,42.69323672,0,0,0.27,0.81521739,0,0,6.38,19.26328502,8.49,25.63405797,5.46497585,-0.9057971,1442568.95768799,5632.6720033551
