OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,GID,TOTAL_AC,LAND_AC,T_CAN_AC,T_CAN_PCT,VEG_AC,VEG_PCT,BLD_AC,BLD_PCT,TO_IA_AC,TO_IA_PCT,ROAD_AC,ROAD_PCT,SWALK_AC,SWALK_PCT,OT_IA_AC,OT_IA_PCT,WAT_AC,WAT_PCT,SOIL_AC,SOIL_PCT,UTC_AC,UTC_PCT,PPA_V_AC,PPA_V_PCT,TO_PPA_AC,TO_PPA_PCT,PPA_IA_AC,PPA_IA_PCT,UN_IA_AC,UN_IA_PCT,TO_UN_AC,TO_UN_PCT,UN_SL_AC,UN_SL_PCT,UN_OT_AC,UN_OT_PCT,WATER_AC,WATER_PCT,UTC_AC06,UTC_PCT06,UTC_AC11,UTC_PCT11,PCT_CHG_06,PCT_CHG_11,SHAPEAREA,SHAPELEN
4463,11,001,007808,3013,110010078083013,4463,3.81,3.81,0.36,9.4488189,1.32,34.64566929,0.35,9.18635171,2.13,55.90551181,1.12,29.39632546,0.17,4.46194226,0.49,12.86089239,0,0,0,0,0.36,9.4488189,1.32,34.64566929,1.98,51.96850394,0.66,17.32283465,1.47,38.58267717,1.47,38.58267717,0,0,0,0,0,0,0.22,5.77427822,0.27,7.08661417,3.67454068,2.36220472,165807.848964386,1695.50976323938
4464,11,001,001001,2027,110010010012027,4464,1.74,1.74,0.84,48.27586207,0.26,14.94252874,0.24,13.79310345,0.64,36.7816092,0.27,15.51724138,0.05,2.87356322,0.07,4.02298851,0,0,0,0,0.84,48.27586207,0.26,14.94252874,0.39,22.4137931,0.13,7.47126437,0.51,29.31034483,0.51,29.31034483,0,0,0,0,0,0,0.78,44.82758621,0.89,51.14942529,3.44827586,-2.87356322,75932.4762833792,1140.64130766007
4465,11,001,004802,2006,110010048022006,4465,4.46,4.46,0.19,4.26008969,0,0,1.32,29.59641256,4.27,95.73991031,1.41,31.61434978,0.36,8.07174888,1.17,26.23318386,0,0,0,0,0.19,4.26008969,0,0,1.54,34.52914798,1.54,34.52914798,2.73,61.21076233,2.73,61.21076233,0,0,0,0,0,0,0.14,3.13901345,0.32,7.17488789,1.12107623,-2.91479821,194317.057181036,1854.72354823291
4466,11,001,007807,2003,110010078072003,4466,7.54,7.54,1.78,23.60742706,1.58,20.95490716,1.74,23.07692308,4.18,55.43766578,1.45,19.23076923,0.35,4.64190981,0.63,8.35543767,0,0,0,0,1.78,23.60742706,1.56,20.68965517,2.32,30.76923077,0.76,10.0795756,3.19,42.30769231,3.43,45.49071618,0,0,0.24,3.18302387,0,0,0.85,11.27320955,1.52,20.15915119,12.33421751,3.44827586,328368.606795985,2472.41188368652
4467,11,001,010800,2011,110010108002011,4467,8.16,8.16,1.54,18.87254902,0.07,0.85784314,2.88,35.29411765,6.55,80.26960784,2.53,31.00490196,0.89,10.90686275,0.24,2.94117647,0,0,0,0,1.54,18.87254902,0.02,0.24509804,0.71,8.70098039,0.69,8.45588235,5.25,64.33823529,5.91,72.42647059,0,0,0.66,8.08823529,0,0,1.34,16.46191646,1.53,18.75,2.41063256,0.12254902,355283.66203108,2421.23686450763
4468,11,001,001803,1009,110010018031009,4468,1.03,1.03,0.17,16.50485437,0.83,80.58252427,0,0,0.03,2.91262136,0,0,0.02,1.94174757,0,0,0,0,0,0,0.17,16.50485437,0.52,50.48543689,0.53,51.45631068,0,0,0,0,0.33,32.03883495,0,0,0.33,32.03883495,0,0,0.18,17.47572816,0.16,15.53398058,-0.97087379,0.97087379,45057.3717136979,855.653450118541
4469,11,001,005001,2007,110010050012007,4469,0.37,0.37,0.24,64.86486486,0.02,5.40540541,0,0,0.1,27.02702703,0.08,21.62162162,0.02,5.40540541,0,0,0,0,0,0,0.24,64.86486486,0,0,0,0,0,0,0.06,16.21621622,0.13,35.13513514,0,0,0.07,18.91891892,0,0,0.16,43.24324324,0.27,72.97297297,21.62162162,-8.10810811,16136.0600989576,531.716190204278
4470,11,001,000801,1000,110010008011000,4470,46.38,46.38,23.14,49.89219491,4.64,10.0043122,8.29,17.87408366,18.59,40.08193187,6.09,13.13065977,1.71,3.68693402,2.5,5.39025442,0,0,0,0,23.14,49.89219491,4.51,9.72401897,8.19,17.65847348,3.68,7.93445451,14.39,31.02630444,15.05,32.44933161,0,0,0.66,1.42302717,0,0,21.87,47.21502591,19.37,41.79974104,2.677169,8.09245387,2019807.35831829,5921.55973707619
4471,11,001,003100,1013,110010031001013,4471,3.37,3.37,0.54,16.02373887,0.62,18.39762611,0.53,15.72700297,2.16,64.09495549,0.56,16.61721068,0.3,8.90207715,0.77,22.84866469,0,0,0.05,1.48367953,0.54,16.02373887,0.16,4.74777448,0.63,18.69436202,0.48,14.24332344,1.1,32.64094955,2.2,65.28189911,0,0,1.1,32.64094955,0,0,0.31,9.19881306,0.34,10.08902077,6.82492582,5.9347181,146865.675215746,2448.54016805752
4472,11,001,007301,1025,110010073011025,4472,8.62,8.62,0.38,4.40835267,2.53,29.35034803,1.21,14.03712297,5.71,66.2412993,3.8,44.08352668,0.4,4.64037123,0.29,3.36426914,0,0,0,0,0.38,4.40835267,2.53,29.35034803,3.22,37.3549884,0.69,8.00464037,5.02,58.23665893,5.02,58.23665893,0,0,0,0,0,0,0.03,0.36188179,0.61,7.33173077,4.04647088,-2.9233781,375289.511996652,2863.95893062675
4473,11,001,009503,1001,110010095031001,4473,3.22,3.22,0.67,20.80745342,0.98,30.43478261,0.45,13.97515528,1.57,48.75776398,0.61,18.94409938,0.09,2.79503106,0.42,13.04347826,0,0,0,0,0.67,20.80745342,0.98,30.43478261,1.49,46.27329193,0.5,15.52795031,1.07,33.22981366,1.07,33.22981366,0,0,0,0,0,0,0.63,19.56521739,0.63,19.56521739,1.24223602,1.24223602,140213.925140707,1548.6010641673
4474,11,001,001001,6005,110010010016005,4474,0.32,0.32,0.11,34.375,0.01,3.125,0,0,0.2,62.5,0.16,50,0.03,9.375,0.01,3.125,0,0,0,0,0.11,34.375,0.01,3.125,0.04,12.5,0.03,9.375,0.16,50,0.16,50,0,0,0,0,0,0,0.13,40.625,0.11,34.375,-6.25,0,13766.5358648923,547.52023578109
4475,11,001,007903,1006,110010079031006,4475,3.14,3.14,0.26,8.28025478,1.31,41.71974522,0.4,12.7388535,1.53,48.72611465,0.55,17.51592357,0.11,3.50318471,0.47,14.96815287,0,0,0.04,1.27388535,0.26,8.28025478,0.33,10.50955414,0.61,19.42675159,0.28,8.91719745,0.95,30.25477707,2.27,72.29299363,0.03,0.95541401,1.29,41.08280255,0,0,0.08,2.5477707,0.29,9.23566879,5.73248408,-0.95541401,136945.618124879,1491.28704039299
4476,11,001,008301,2004,110010083012004,4476,4.17,4.17,0.69,16.54676259,0.16,3.83693046,1.27,30.45563549,3.32,79.61630695,0.99,23.74100719,0.26,6.23501199,0.8,19.18465228,0,0,0,0,0.69,16.54676259,0.16,3.83693046,1.22,29.25659472,1.06,25.41966427,2.26,54.19664269,2.26,54.19664269,0,0,0,0,0,0,0.47,11.27098321,0.81,19.42446043,5.27577938,-2.87769784,181436.787440177,1693.29994092973
4477,11,001,007803,3005,110010078033005,4477,2.59,2.59,0.61,23.55212355,0.49,18.91891892,0.45,17.37451737,1.5,57.91505792,0.54,20.84942085,0.09,3.47490347,0.42,16.21621622,0,0,0,0,0.61,23.55212355,0.49,18.91891892,1,38.61003861,0.51,19.69111969,0.99,38.22393822,0.99,38.22393822,0,0,0,0,0,0,0.47,18.14671815,0.5,19.30501931,5.40540541,4.24710425,112687.383113594,1370.72413901826
4478,11,001,000502,1004,110010005021004,4478,0.95,0.95,0.29,30.52631579,0.46,48.42105263,0,0,0.2,21.05263158,0.15,15.78947368,0.05,5.26315789,0.01,1.05263158,0,0,0,0,0.29,30.52631579,0.46,48.42105263,0.51,53.68421053,0.05,5.26315789,0.15,15.78947368,0.15,15.78947368,0,0,0,0,0,0,0.42,44.21052632,0.41,43.15789474,-13.68421053,-12.63157895,41252.653124876,1231.95729812526
4479,11,001,009400,3009,110010094003009,4479,3.48,3.48,0.78,22.4137931,1.22,35.05747126,0.48,13.79310345,1.48,42.52873563,0.58,16.66666667,0.12,3.44827586,0.31,8.90804598,0,0,0,0,0.78,22.4137931,1.22,35.05747126,1.64,47.12643678,0.42,12.06896552,1.06,30.45977011,1.06,30.45977011,0,0,0,0,0,0,0.62,17.76504298,0.67,19.19770774,4.64875012,3.21608537,151806.931074744,1568.18737580125
4480,11,001,009203,1005,110010092031005,4480,19.62,19.62,8.9,45.36187564,5.39,27.47196738,1.63,8.30784913,5.3,27.01325178,2.33,11.87563711,0.47,2.39551478,0.88,4.48521916,0,0,0.02,0.1019368,8.9,45.36187564,5.39,27.47196738,6.73,34.30173293,1.35,6.88073394,3.95,20.13251784,3.98,20.28542304,0.02,0.1019368,0,0,0,0,7.17,36.56297807,8.34,42.52932177,8.79889756,2.83255386,854188.317549104,4809.71356072458
4481,11,001,010500,2015,110010105002015,4481,2.77,2.77,0.15,5.41516245,0.1,3.6101083,0.97,35.01805054,2.52,90.97472924,1.04,37.54512635,0.2,7.22021661,0.31,11.19133574,0,0,0,0,0.15,5.41516245,0.1,3.6101083,0.62,22.38267148,0.51,18.41155235,2.01,72.5631769,2.01,72.5631769,0,0,0,0,0,0,0.11,3.97111913,0.18,6.49819495,1.44404332,-1.08303249,120704.128125341,1630.51340216385
4482,11,001,006802,2014,110010068022014,4482,2.95,2.95,0.78,26.44067797,0.26,8.81355932,0.73,24.74576271,1.89,64.06779661,0.68,23.05084746,0.13,4.40677966,0.36,12.20338983,0,0,0.01,0.33898305,0.78,26.44067797,0.26,8.81355932,0.74,25.08474576,0.49,16.61016949,1.41,47.79661017,1.42,48.13559322,0.01,0.33898305,0,0,0,0,0.57,19.3220339,0.56,18.98305085,7.11864407,7.45762712,128313.541473505,1499.90484152296
4179,11,001,002001,2012,110010020012012,4179,7.55,7.55,2.18,28.87417219,1.85,24.50331126,1.45,19.20529801,3.51,46.49006623,1.04,13.77483444,0.19,2.51655629,0.83,10.99337748,0,0,0,0,2.18,28.87417219,1.85,24.50331126,2.87,38.01324503,1.02,13.50993377,2.49,32.98013245,2.49,32.98013245,0,0,0,0,0,0,2.65,35.09933775,3.68,48.74172185,-6.22516556,-19.86754967,328676.939622817,2451.38788921805
4180,11,001,007403,1005,110010074031005,4180,15.22,15.22,6.94,45.5978975,3.23,21.22207622,2.05,13.46911958,5.05,33.18002628,2.19,14.38896189,0.37,2.43101183,0.44,2.89093298,0,0,0,0,6.94,45.5978975,3.22,21.15637319,4.01,26.34691196,0.8,5.25624179,4.24,27.85808147,4.27,28.05519054,0,0,0.03,0.19710907,0,0,5.11,33.57424442,6.35,41.72141919,12.02365309,3.87647832,663204.066404179,4633.90850336451
4181,11,001,010300,2002,110010103002002,4181,2.85,2.85,0.37,12.98245614,0.84,29.47368421,0.53,18.59649123,1.65,57.89473684,0.58,20.35087719,0.16,5.61403509,0.38,13.33333333,0,0,0,0,0.37,12.98245614,0.84,29.47368421,1.38,48.42105263,0.54,18.94736842,1.11,38.94736842,1.11,38.94736842,0,0,0,0,0,0,0.56,19.64912281,0.31,10.87719298,-6.66666667,2.10526316,124105.987259595,1463.17727596233
4182,11,001,011100,3057,110010111003057,4182,1.54,1.54,0.12,7.79220779,0.38,24.67532468,0,0,0.81,52.5974026,0.49,31.81818182,0.09,5.84415584,0.23,14.93506494,0,0.03206156,0.23,14.93506494,0.12,7.79220779,0.38,24.67532468,0.7,45.45454545,0.32,20.77922078,0.49,31.81818182,0.72,46.75324675,0.23,14.93506494,0,0,0,0.03,0.01,0.64935065,0.02,1.2987013,7.14285714,6.49350649,67156.9254733753,1890.68595095942
4183,11,001,005800,1034,110010058001034,4183,4.44,4.44,0.32,7.20720721,0,0,2.62,59.00900901,4.12,92.79279279,0.95,21.3963964,0.44,9.90990991,0.1,2.25225225,0,0,0,0,0.32,7.20720721,0,0,0.54,12.16216216,0.54,12.16216216,3.58,80.63063063,3.58,80.63063063,0,0,0,0,0,0,0.35,7.88288288,0.22,4.95495495,-0.67567568,2.25225225,193363.021613171,1761.80202983098
