user_id,status_id,created_at,text,source,display_text_width,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,quote_count,reply_count
9.29582E+17,1.23292E+18,2/27/20 6:42, OncoAlert The WHO just published guidance on how to prevent the spread of COVID19 THEY advise these measures to be taken NOW even if coronavirus hasn't arrived in your communities ,Twitter Web App,187,NA,NA,NA,TRUE,FALSE,0,0,NA,NA
48688417,1.23292E+18,2/27/20 6:42, relief getting in Coronavirus Recoveries Have Overtaken New Cases StatistaCharts ,Twitter Web App,84,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
8.84988E+17,1.23292E+18,2/27/20 6:42,Ayam tayad of this talking stage can we skip to cuddles Netflix and being goofy If you want to talk talk to God CFC coronavirus GalaxyNote20,Twitter for iPhone,152,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
90841933,1.23292E+18,2/27/20 6:42,Excellent points in here For all the extreme quarantine measures China has taken to try to contain the coronavirus it has still spread And most countries will not be able to do what China has done ,Twitter for iPhone,226,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
125873258,1.23292E+18,2/27/20 6:40,US PeaceCorps to evacuate Mongolia volunteers do to concerns about coronavirus,Twitter Web App,81,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
125873258,1.23292E+18,2/27/20 6:32, Coronavirus latest US issues travel advisories for Italy Mongolia and Iran Reconsider Travel in Mongolia due to travel and transport restrictions related to Mongolia's response to an outbreak in the neighboring People's Republic of China,Twitter Web App,243,NA,NA,NA,FALSE,FALSE,0,1,NA,NA
125873258,1.23292E+18,2/27/20 6:42, MONGOLIA TO RESTRICT TRAVEL FROM CAPITAL ULAANBAATAR TO OTHER PROVINCES because of Coronavirus,Twitter Web App,97,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
56254987,1.23292E+18,2/27/20 6:35,Non face-to-face service spikes as coronavirus spreads COVID19 Corona Coronavirus CoronavirusOutbreak ,Twitter Web App,129,NA,NA,NA,FALSE,FALSE,0,1,NA,NA
56254987,1.23292E+18,2/27/20 6:42,Mobility startups immune to coronavirus outbreak COVID19 Corona Coronavirus CoronavirusOutbreak ,Twitter Web App,123,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
9.44155E+17,1.23292E+18,2/27/20 6:42,They said you can't get it from pets but what if have have a pet pangolin who was shat on by a corona-infested bat and you eat one of his scales coronavirus ,Twitter for iPhone,157,NA,NA,NA,TRUE,FALSE,0,0,NA,NA
