"user_id","screen_name"
"589305257","LileadProject"
"235262823","HousingTheCity"
"2288529516","taywbrown"
"2259019392","BBSJournal"
"1133174126","AlvinGrissomII"
"232681569","caribouwireless"
"1358726731","shsannon"
"50922680","adamkriesberg"
"14331818","edsu"
"3707214743","saglikozhan"
"980780282662932480","DBDHxl6bRTlT0hi"
"526335850","iDocQ"
"83715808","amandainmd"
"911935332110680065","zzzz2313"
"1246203038760656896","AccessibleCybe1"
"3832212335","Kunkun321"
"1243700248641449985","masks4all2020"
"1207503587775000577","veteran_feb"
"2951803648","FluDepot"
"2353993435","DJKS3"
"2779893862","jdpandersn1"
"1167290248918753281","Jetplane102"
"1016590033","IsHellReal"
"20841921","noLongerAdem1"
"743164647696637952","funk3twn"
"3251029034","ichew3232"
"43466241","NASCARWAFan"
"578817480","GeoffBarlow1939"
"855520603666698241","shopsprucy"
"186552155",NA
"28489621","Jacsqueeze"
"4222782520","ramplocal"
"1030254900456955905","MarkjAdams6"
"986276428709859328","gfellerphotos"
"867097226568499200","shopjackie"
"4759302914","KCEcareers"
"4459200394","MsHolbeck"
"845246310622134273","MsFinancier"
"187444230","HussainTopu4353"
"4817927886","mfitz1806"
"917017965660397568","john4806"
"702338414847328256","FCPS_LIS"
"3149165193","Spartan_amy"
"14413704","krystinmarie"
"1053202698","eleanorjoseph_"
"26234071","BMCkamau1030"
"36931130","Bayview68"
"14122675","halakar"
"611801816","LaurenTessmer"
"2175173689","karistoklosa"
"1657914948","LibJSmith"
"64773992","Martha_Gomez"
"248343125","CarrieAnnB77"
"107776537","LouisBrill"
"594690139","casamuel80"
"861829314","4rainsweb"
"36137140","awesome80sprom"
"263372730","val3345"
"22082074","drclemente"
"94286761","shanaclemente"
"30741866","shanns112"
"294962489","tyronedesign"
"1032334759006019584","WaukeshaCoExec"
"1180858155389075456","Patrick85211124"
"759131927584571392","munch_rights"
"1134251005497921537","StechmannRober1"
"3013704366","DavidHealthLLC"
"331772819","BluemndExpress"
"777299156","JohnBurkeXJXJ"
"43922266","lrosenba94"
"970228406959816704","RealWayneC13"
"771767851","Blu_Digital"
"931642344","CockpitChatter"
"752885959","gar0829"
"754707236505657345","GLi6Pro"
"828037929343782912","johnphilip20171"
"808755085044027392","RustmanEdD"
"3300852192","ryan_wielgus"
"164081500","tico602"
"2321117987","KaaulaniLaw"
"855890720","deltawhisky21"
"702048297775566848","jasonclark1331"
"1324746890","RotorNation"
"55253077","meghanlmiller"
"842208254","MrChrisMorales"
"702205883661492224","kellywilliam38"
"1248095012325396480","ErikaJo65849725"
"1248100085977800706","TrixGaming17"
"1204214668656549888","NoNamed15943324"
"1247745465224851456","DesmondAuthur"
"1247858287825039361","ToniDil75323649"
"15052069","TONYCHEESEPLZ"
"2411433569","seanhilger"
"1247958993785565185","trista_goss"
"1247694728247812097","Theresa88929586"
"467052316","LynnLawrence4"
"1247902204674990081","BrunoMa89194120"
"981683776509104129","bluelighter_"
"970496498","dolan_cromley6"
"972242276591251456","Willie_Norms64"
"1028722242782420992","ocharinoz"
"1208742912974032896","paawnz"
"3051213449","KyleenMorelli"
"1115593150544863236","Allison51898534"
"1051467709500858368","bleueuajay"
"27856817","Broadwayjane"
"1059384056205459456","MarinaBoni00"
"1028779344704032770","AMychkovsky"
"209558864","mterracino"
"1105177760757174274","USPoliticsPoll"
"996157289026473985","_ReaalAmerican_"
"1514064366","Saintjohnbutler"
"2772007830","Micheol_bell612"
"1244200265621868545","OmarBar70706258"
"2526137437","JustSmallProbs"
"1231422766508888064","KujabiAms"
"747584990343536640","msmollymilan"
"875571222997680131","Milky_Cereal_"
"351100725","Dylan_Bostic"
"1211104677414068224","PaulRealPolitik"
"1240976550255878150","odongomoses256"
"1108016678363754497","BetoAngelMommas"
"55220347","v0lpin"
"3197770658","cooperchip1"
"1041380106407698433","ousman35556489"
"264924050","shomaristone"
"1179194086533804034","EricksonArnold1"
"888462978571526144","TimmyFaircloth"
"703288361","vanscyoc_dalene"
"32189132","AntonioArellano"
"32582937","lillithmind"
"1058983999098572800","DeepNotion2"
"1209112138419245062","James09355092"
"975572363331878918","ambassadorbrief"
"176062872","ImPaulMalo"
"1211029618032963584","PaulMen66939185"
"880776567068258306","DougJaraczewski"
"1088862056705593344","TheTNHoller"
"129009523","patsylake"
"18127647","heynicepants"
"2220899227","jblumyna"
"1195266106543362048","garybrookmann"
"943367608144879616","IncisiveDude"
"1200686737145630721","henryisaacTx"
"803012127816617984","DeanxRiley"
"2458919256","Mamobluewave"
"1210185422372065284","Harry20409769"
"754509231315877889","ToriKat114"
"1028382947605401600","scrantonville"
"1185837657135419392","Nichola13902750"
"37016783","vistadiva"
"774754859472093184","nickolauschat"
"4161091709","devan_eilbert"
"1169934812334972928","IyereThankgod"
"1187885148278329344","Fremason2"
"864877729426145280","cdallas75"
"17477864","tomiahonen"
"3128898925","trish_zornio"
"275839688","flinnsd"
"29365520","italianbitchfit"
"298484783","LuvUGeorgeM"
"787711278693384192","Riverratjulie"
"933326000682803200","RonniePS8"
"125070671","essgeeiv"
"243441153","Point823"
"35014029","fenya0917"
"718375439367028737","SuMoh7"
"3526256423","tokyo_jon"
"1142110350411730945","TonyatAIS"
"1187492503701938177","CallahanJones5"
"328474134","TankSchottle"
"798294109198815232","haroldgallaghe8"
"1153888523075772416","DrAliJarrarHus2"
"1185488853727109126","AskelCraig"
"25926296","maiamimi"
"1182094873006166016","johnwil00799601"
"3192670523","davesprom"
"3433187174","JDoeJustice"
"1180701291359588352","Charityorgph"
"1163745558022053888","RayBoyd29516795"
"1132423819011002368","Randomgirlxx107"
"705798278441537537","lugard11264"
"4482329417","jackresists"
"302881437","Marc_Perrone"
"439309182","ZinaNPetersen"
"1172245021514510337","Jeffoffcialx2"
"1156750363271151617","philphiliphilip"
"33953364","amyhef"
"25974425","Paul_VanDerMeer"
"135191481","jasonpbutler"
"1688229715","JGSeven"
"382886484","KapeciaResists"
"1166106680226131968","Callaha78009520"
"919965874311782400","Tentoads4truth"
"339351467","WordswithSteph"
"18353495","StephenBright"
"1160921756657487872","ebrima29419974"
"459269265","RichardAngwin"
"132664085","JustTomEdwards"
"1135855052026011649","rd4va"
"294079657","LaniGlobal"
"4510739237","the_rustbelt"
"780942158014676992","NorthElstew"
"3270348456","presentefect"
"1905006121","heyjude831"
"390993915","CarolRenza"
"1154808566110310400","DicostaFilomina"
"16578293","rsanderlin"
"2312488179","mmottDC"
"816959815104729089","leif_tj"
"1714163233","pattybarron57"
"770248044549812226","ArmyTenMilerATM"
"1611082718","Granola_Mum"
"4920249353","shopcliffbailey"
"3019788363","TonyteesignTony"
"2498189648","alexismanu4"
"4002825025","usa_Bryanna"
"2999188603","arvizu_aa"
"1885150135","brittarens"
"106160827","dorothyneville"
"232619790","fgamador"
"269495663","tedlongshore"
"3187916558","TheFrillAcc"
"2840640057","SaraNSchoen"
"205372626","jennyneville1"
"2864475693","DrKarlNadolsky"
"2897535501","TayMHenderson"
"925588058","astralmagikbro"
"14453256","MaggieLongshore"
"1247212985598255104","Winston85537317"
"2758790962","ChillTownMoops"
"752242136976875520","adirondacraftco"
"970687752051331072","yourfullstride"
"970675788365357058","kenethdyth6gma1"
"16489831","LonnyLeitner"
"211619929","ignitemysole"
"408077425","HighTechKids1"
"2231951923","cdnusboy"
"36673130","tcalgaro"
"807987309207572482","MWM_MN"
"952719090","RyanPaulPapke"
"23806067","VisitAdks"
"23663669","adktrailhead"
"11302512","adkalmanack"
"2379621944","mindykcorbin"
"778869643","barbsutter49B"
"22438342","Watermelonbeast"
"335350088","CStephansen"
"3152790479","Eimess76"
"1141161198265802754","TebeauGreg"
"2429503927","jojoptyoga"
"1409164310","LearnOffice365"
"979084385793269760","Allthngsbodyfit"
"2227407671","WarnerRanj"
"708915184568389632","agiline123"
"822676530","SP2019Only"
"32387576","Robin567"
"293663200","imfbrandon"
"792816162522304512","lance_vastine"
"1247415709233266689","NikkiHe45799500"
"1136764952398708736","rainbow79471554"
"955859569598783489","ProfessionalAs5"
"1216182859695783936","EbnerBills"
"1181160007997542400","JAvertus"
"467984025","HLIRealty"
"573899053","ttec_com"
"3116072290","SarahDewery"
"33923443","6BillionPeople"
"950787146947837953","Salesforcegroup"
"770406775531134976","bergemann_h"
"263594861","CrownLimoLA"
"10716882","EideBaillyTech"
"48630413","marisahambleton"
"819349624653836288","zsazsafern"
"2999455003","KapilNagesh"
"216558300","iamscottpage"
"29924195","rjbertram"
"52838099","RacingRog"
"833071","furrier"
"306071927","spoken_serenity"
"1542946087","WJJohnstone"
"511698255","pala_chinnasamy"
"3059845187","gv_force"
"771729314790318081","HolseyHammer"
"770410015735816192","ABergemann3"
"707919766409912321","andyduwe"
"3033254033","TheSBJournal"
"2957332738","KRene21"
"493524550","Dream2France"
"1238499715","LisaPRescribes"
"969769322","nikhilshettyg"
"2515988714","SSLuxR"
"4697508644","cureearthsocial"
"301645871","Robbiiesfit"
"203071766","AlpMimar"
"4515471555","cwqofe"
"4496899773","mareva519"
"30090344","MomtoJsquared"
"4488651436","LeslyeLawson"
"244834557","tyoshikawa1106"
"3573318134","patricia_tremba"
"606163393","premyad63112313"
"90488969","BRIANJROCK"
"3600743539","rachel07226372"
"3409441371","reetsbeats"
"2948414656","okcharohervas6"
"16943688","charlieisaacs"
"28596349","PLMuse"
"104541724","RingLead"
"843574609","Gordon2Gail"
"266851301","SallyNowroozi"
"2951575292","inderjitp19"
"1877855623","lucihill20"
"2950739296","ankitaw83"
"3198758715","PrincipalABurns"
"2879831252","yohannesassef11"
"437187302","AllSalesforce"
"3453061","mbaizman"
"526489131","NicolePayseur"
"34816199","Marle1975"
"2870210264","MHarding79PHX"
"27649741","CTDems"
"15939970","flyfishergirl"
"1344892680","SymDataSec"
"566920946","CoakleyCabraly6"
"243987640","JoeyLocascio"
"323998361","Matt_Dominguez"
"73835242","yolandaceocoach"
"91478624","Forbes"
"23136101","OurExplorers"
"961258536","HerzTu"
"2532734413","vozgallego522"
"217125294","char_ryland"
"96006812","yvrairport"
"235473441","StoneRa1"
"2513020716","sarahc0630"
"14088984","kimberlykowal"
"33612317","salesforce"
"2455451817","lindalmcfarland"
"15368726","tallkokomoose"
"95232489","FAOCapacitacion"
"969794420966117376","AlyJWeinberger"
"912743208907616256","Cassie_Jordan_"
"867487926673952770","ILoveGayBWI"
"40851496","ibrakazaz"
"1063954354938540032","JonSalaban"
"3050779904","MsDNBishop"
"526028204","SVicGlass"
"260204041","Aschhlevine"
"760106155905462272","bumbernick"
"1167613624472481792","sbcmte"
"860229739595706368","MsAbeja"
"1052251674507661312","DishCity"
"3082644510","murphonic5"
"140961316","gweblaw"
"1117809081765568512","johnmarkstork"
"2315795336","tamuchris"
"1110916282608697345","sigourdson"
"1105213593044295680","AnnCarwithian"
"51619931","AVTHEGREAT"
"1013845064198578176","dizhsanabani"
"21009432","JerryCraft"
"1017921701324185600","GHS_ESOL"
"36132890","thirstproject"
"200601478","JulieHiltz"
"1067587420659556353","MrsLacyArtClass"
"3110921266","silver_science"
"116275812","c4plus1"
"1047978378811383808","nigelsheadache"
"1266857316","DataspireUK"
"388668609","kidworldcitizen"
"831858523818569728","EmJaAs03"
"890019004202483712","SCMS_BSoftball"
"2486268770","profeashley"
"2680101002","killn_mesmalls"
"1021760758839955457","Dharun98485493"
"1004789114397437953","SCMS_Counseling"
"872302254","icohenrockville"
"1034474248058875904","rocket_MUN"
"66428357","JeanKwok"
"403053327","keithshively"
"1029729263375867906","MrChandler14"
"58670221","DiegoOjeda66"
"3426157317","RoMcNary"
"1021776695555174400","sextontweets"
"1021574262971346944","ForAggies"
"3392299479","MsRubenTweets"
"803837910","NwsRdr99"
"930447258771968000","AlohaPaulGeller"
"315660306","MsSegovia"
"170437043","taranoelle77"
"261961245","SarahEmilyShah"
"164068136","SthMtnMike"
"1461879277","misskyritsis"
"965639249134587905","IBHusky"
"963811641602330624","RMHS_MainOffice"
"807623650493005824","angelalynn1982"
"771149241637072896","classofPAINE"
"427599134","EllenSherratt"
"2449630076","MrsKariPatrick"
"947080020052332545","MCA67570992"
"825013197606301696","nhdsdallas"
"2476352732","MsAmberChandler"
"33221821","MNTOY2006"
"942074703262470146","TobaisBarr"
"816342428","ResourceShark"
"1707428977","ThomasDemenga"
"11586912","jawono"
"938440575803674624","malory_hartman"
"910193997351591936","TheWriteJAB"
"2610018072","Timeline_Now"
"903982071034601474","Gray_Suit"
"911298875843104769","drama_rmhs"
"2188785924","newnancydrew"
"2156990487","davidjoshell"
"865922338243702789","SCMSMediaCtr"
"411915368","Gus_Op"
"64242217","owenpeery"
