"","X","census_bg","Total.Area.in.acres","Total.Land.Area.in.acres","Tree.Canopy.in.acres","Tree.Canopy.area.in.percent","Vegetation.in.acres","Vegetation.Percentage","Building.area.in.acres","Building.area.in.percent","Total.Impervious.Area.in.acres","Total.Impervious.Area.in.percent","Road.Acres","Road.Area.in.percent","Sidewalk.Area.in.acres","Sidewalk.Area.in.percent","Other.Impervious.Area.in.acres","Other.Impervious.Area.in.percent","Surface.Water.Area.in.acres","Surface.Water.Area.in.percent","Soil.area.in.acres","Soil.area.in.percent","Urban.Tree.Canopy.area.in.acres","Urban.Tree.Canopy.area.percent","Possible.Vegetation.Planting.Area.in.acres","Possible.Vegetation.Planting.Area.in.percent","Total.Possible.Planting.Area.in.acres","Total.Possible.Planting.Area.in.percent","Impervious.Possible.Planting.Area.in.acres","Impervious.Possible.Planting.Area.in.percent","Unsuitable.Impervious.Planting.Buildings.and.Roads.Area.in.acres","Unsuitable.Impervious.Planting.Buildings.and.Roads.Area.in.percent","Total.Unsuitable.Planting.Area.in.acres","Total.Unsuitable.Planting.Area.in.percent","Unsuitable.Soil.and.Vegetation.Area.in.acres","Unsuitable.Soil.and.Vegetation.Area.in.percent","Unsuitable.Other.Land.Area.in.acres","Unsuitable.Other.Land.Area.in.percent","SHAPEAREA","SHAPELEN","Geographic.Area.Name","Income.in.the.past.12.months.below.poverty.level","Median.household.income.in.the.past.12.months","Total.Population","Total.Population.of.one.race","Total.White.Population","Total.African.American.Population","Total.American.Indian.Population","Total.Asian.Population","Total.Native.Hawaiian.Population","Total.Population.of.Other.Races","PovertyPerCapita","UTC_quart","income_quart","UTCacres_quart"
"82",81,110010008011,49.81,49.81,26.45,53.10178679,4.7,9.43585625,8.29,16.64324433,18.66,37.46235696,6.16,12.36699458,1.71,3.43304557,2.5,5.01907248,0,0,0,0,26.45,53.10178679,4.57,9.17486449,8.25,16.56293917,3.68,7.38807468,14.45,29.01023891,15.11,30.33527404,0,0,0.66,1.32503513,2169664.67599978,6134.94160803244,"Block Group 1, Census Tract 8.01, District of Columbia, District of Columbia",13,90590,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q4","Q2","Q3"
"83",82,110010008012,217.27,217.27,155.93,71.76784646,25.97,11.9528697,15.33,7.0557371,35.37,16.27928384,12.16,5.59672297,0.88,0.405026,7,3.22179776,0,0,0,0,155.93,71.76784646,24.8,11.41436922,31.62,14.55332075,6.83,3.1435541,27.49,12.65246007,29.72,13.67883279,0,0,2.23,1.02637272,9463006.37620407,14486.8162286206,"Block Group 2, Census Tract 8.01, District of Columbia, District of Columbia",0,250000,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q4","Q4","Q4"
"84",83,110010008013,307.07,307.07,220.46,71.79470479,26.18,8.52574332,21.02,6.84534471,60.06,19.5590582,21.03,6.8486013,3.48,1.13329208,14.53,4.73182011,0,0.00152897,0.38,0.12375028,220.46,71.79470479,25.59,8.33360472,40.66,13.24128049,15.07,4.90767577,42.04,13.69068942,45.94,14.96075813,0.38,0.12375028,3.53,1.14957502,13374621.9794926,19064.7203166881,"Block Group 3, Census Tract 8.01, District of Columbia, District of Columbia",40,184957,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q4","Q4","Q4"
"85",84,110010008014,186.03,151.4,96.25,63.57331572,17,11.22853369,11.51,7.60237781,37.61,24.84147952,14.42,9.52443857,3.21,2.12021136,8.47,5.59445178,34.63,18.6145024,0.54,0.35667107,96.25,63.57331572,16.34,10.79260238,23,15.19154557,6.66,4.3989432,25.92,17.12021136,32.15,21.23513871,0.54,0.35667107,5.69,3.75825627,8102318.04904739,14213.0286054996,"Block Group 4, Census Tract 8.01, District of Columbia, District of Columbia",0,147308,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q4","Q4","Q4"
"86",85,110010008021,394.5,240.92,135.66,56.30914827,39.93,16.57396646,20.77,8.62111904,65.31,27.10858376,26.22,10.88328076,4.69,1.9467043,13.63,5.65747966,153.58,38.93099839,0.02,0.00830151,135.66,56.30914827,38.77,16.09247883,55.15,22.89141624,16.38,6.79893741,46.97,19.49609829,50.11,20.7994355,0.02,0.00830151,3.11,1.29088494,17182727.4127631,18398.5550917812,"Block Group 1, Census Tract 8.02, District of Columbia, District of Columbia",12,111563,1935,1725,1254,179,4,247,4,37,0.0062015503875969,"Q4","Q3","Q4"
"87",86,110010008022,168.59,168.55,111.58,66.19994067,20.51,12.168496,14.11,8.37140314,36.47,21.63749629,12.06,7.15514684,1.68,0.99673687,8.6,5.10234352,0.03,0.0203737,0,0,111.58,66.19994067,20.42,12.11509938,28.81,17.09285079,8.39,4.97775141,26.18,15.53248294,28.16,16.70720854,0,0,1.98,1.1747256,7343385.03335623,13800.3736296892,"Block Group 2, Census Tract 8.02, District of Columbia, District of Columbia",0,183125,1392,1213,991,47,4,139,4,28,0,"Q4","Q4","Q4"
"88",87,110010009011,159.66,159.66,104.16,65.23863209,19.81,12.40761618,17.21,10.77915571,35.69,22.35375172,12.29,7.69760742,0.79,0.49480145,5.4,3.38218715,0,0,0.01,0.00626331,104.16,65.23863209,19.61,12.28234999,25.24,15.80859326,5.64,3.53250658,29.5,18.47676312,30.26,18.95277465,0.01,0.00626331,0.75,0.46974821,6953902.52410428,11092.3645540847,"Block Group 1, Census Tract 9.01, District of Columbia, District of Columbia",0,250000,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q4","Q4","Q4"
"89",88,110010009012,356.99,340.83,220.94,64.82410586,42.06,12.34046299,32.17,9.43872312,77.81,22.82956313,31.21,9.15705777,3.29,0.96529061,11.13,3.26555761,16.16,4.52629349,0.02,0.00586803,220.94,64.82410586,41.44,12.15855412,55.23,16.20455946,13.78,4.04307133,63.25,18.55763871,64.67,18.9742687,0.02,0.00586803,1.4,0.41076196,15548671.6074086,17069.9986513499,"Block Group 2, Census Tract 9.01, District of Columbia, District of Columbia",0,250000,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q4","Q4","Q4"
"90",89,110010009013,231.81,231.81,123.82,53.41443423,31.81,13.72244511,29.33,12.65260343,75.93,32.75527372,24.86,10.72430007,6.55,2.82558992,15.19,6.55278029,0,0,0.26,0.11216082,123.82,53.41443423,30.7,13.24360468,44.59,19.23558086,13.89,5.99197619,54.11,23.34239248,63.4,27.3499849,0.26,0.11216082,9.03,3.8954316,10096036.9040135,16002.6695484469,"Block Group 3, Census Tract 9.01, District of Columbia, District of Columbia",0,250000,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q4","Q4","Q4"
"91",90,110010009021,109.75,109.75,73.16,66.66059226,12.89,11.74487472,11.16,10.16856492,23.7,21.59453303,8.2,7.4715262,0.61,0.55580866,3.72,3.38952164,0,0,0,0,73.16,66.66059226,12.52,11.40774487,16.24,14.79726651,3.71,3.38041002,19.36,17.64009112,20.35,18.54214123,0,0,0.99,0.90205011,4780000.17475307,10967.0445556917,"Block Group 1, Census Tract 9.02, District of Columbia, District of Columbia",9,233889,831,780,717,22,3,28,0,10,0.0108303249097473,"Q4","Q4","Q4"
"92",91,110010009022,429.11,356.79,253.22,70.97172006,46.15,12.93477956,21.14,5.92505395,55.25,15.48529948,22.23,6.23055579,4.71,1.32010426,7.17,2.00958547,72.32,16.85423216,2.16,0.60539813,253.22,70.97172006,44.33,12.42467558,54.74,15.34235825,10.41,2.91768267,43.37,12.15560974,48.83,13.68592169,2.06,0.57737044,3.4,0.95294151,18690119.3124085,22290.9540929296,"Block Group 2, Census Tract 9.02, District of Columbia, District of Columbia",0,170750,1486,1306,1143,54,4,65,0,40,0,"Q4","Q4","Q4"
"93",92,110010010011,68.6,68.6,23.16,33.76093294,7.46,10.87463557,14.89,21.70553936,37.98,55.36443149,17.13,24.97084548,2.64,3.8483965,3.32,4.83965015,0,0,0,0,23.16,33.76093294,7.44,10.84548105,13.13,19.13994169,5.69,8.29446064,32.02,46.67638484,32.31,47.09912536,0,0,0.29,0.42274052,2988094.63459094,7290.42014234834,"Block Group 1, Census Tract 10.01, District of Columbia, District of Columbia",0,173859,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q3","Q4","Q3"
