,census_bg,Total Area in acres,Total Land Area in acres,Tree Canopy in acres,Tree Canopy area in percent,Vegetation in acres,Vegetation Percentage,Building area in acres,Building area in percent,Total Impervious Area in acres,Total Impervious Area in percent,Road Acres,Road Area in percent,Sidewalk Area in acres,Sidewalk Area in percent,Other Impervious Area in acres,Other Impervious Area in percent,Surface Water Area in acres,Surface Water Area in percent,Soil area in acres,Soil area in percent,Urban Tree Canopy area in acres,Urban Tree Canopy area percent,Possible Vegetation Planting Area in acres,Possible Vegetation Planting Area in percent,Total Possible Planting Area in acres,Total Possible Planting Area in percent,Impervious Possible Planting Area in acres,Impervious Possible Planting Area in percent,Unsuitable Impervious Planting Buildings and Roads Area in acres,Unsuitable Impervious Planting Buildings and Roads Area in percent,Total Unsuitable Planting Area in acres,Total Unsuitable Planting Area in percent,Unsuitable Soil and Vegetation Area in acres,Unsuitable Soil and Vegetation Area in percent,Unsuitable Other Land Area in acres,Unsuitable Other Land Area in percent,SHAPEAREA,SHAPELEN,Geographic Area Name,Income in the past 12 months below poverty level,Median household income in the past 12 months,Total Population,Total Population of one race,Total White Population,Total African American Population,Total American Indian Population,Total Asian Population,Total Native Hawaiian Population,Total Population of Other Races
292,110010095083,56.67,56.67,14.5,25.58673019,17.18,30.31586377,6.54,11.54049762,25.0,44.11505206,11.66,20.57526028,1.41,2.48808894,5.39,9.51120522,0.0,0.0,0.0,0.0,14.5,25.58673019,17.18,30.31586377,23.98,42.31515793,6.8,11.99929416,18.2,32.1157579,18.2,32.1157579,0.0,0.0,0.0,0.0,2468904.66140934,8940.76386436556,"Block Group 3, Census Tract 95.08, District of Columbia, District of Columbia",12,37045,417.0,383.0,102.0,242.0,4.0,19.0,0.0,16.0
293,110010095091,44.08,44.08,11.52,26.13430127,13.7,31.07985481,7.18,16.28856624,18.86,42.78584392,7.36,16.6969147,0.75,1.70145191,3.57,8.09891107,0.0,0.0,0.0,0.0,11.52,26.13430127,13.7,31.07985481,18.02,40.88021779,4.32,9.80036298,14.54,32.98548094,14.54,32.98548094,0.0,0.0,0.0,0.0,1920111.84556328,6770.32541346276,"Block Group 1, Census Tract 95.09, District of Columbia, District of Columbia",12,103782,1026.0,956.0,97.0,785.0,5.0,14.0,0.0,55.0
294,110010095092,52.55,52.55,14.51,27.61179829,15.09,28.71550904,8.6,16.36536632,22.94,43.65366318,9.18,17.46907707,1.16,2.2074215,4.0,7.61179829,0.0,0.0,0.0,0.0,14.51,27.61179829,15.09,28.71550904,20.25,38.53472883,5.16,9.81921979,17.78,33.83444339,17.78,33.83444339,0.0,0.0,0.0,0.0,2288846.83433892,6948.342201873061,"Block Group 2, Census Tract 95.09, District of Columbia, District of Columbia",0,66836,1082.0,1000.0,159.0,764.0,9.0,15.0,0.0,53.0
295,110010095093,62.93,62.93,12.1,19.22771333,13.02,20.68965517,11.89,18.89400922,37.82,60.09852217,17.52,27.84045765,1.03,1.63673923,7.38,11.72731607,0.0,0.0,0.0,0.0,12.1,19.22771333,13.02,20.68965517,21.42,34.037819799999994,8.41,13.364055300000002,29.41,46.73446687,29.41,46.73446687,0.0,0.0,0.0,0.0,2741184.14888944,7324.591588197941,"Block Group 3, Census Tract 95.09, District of Columbia, District of Columbia",0,74718,1086.0,987.0,198.0,722.0,6.0,42.0,0.0,19.0
296,110010096011,514.85,479.61,194.73,40.60173891,143.73,29.96809908,22.66,4.72467213,131.77,27.47440629,54.59,11.38216468,10.41,2.17051354,44.12,9.19914097,35.24,6.84402635,9.38,1.95575572,194.73,40.60173891,135.49,28.25003649,185.99,38.77942495,50.49,10.52730343,77.24,16.10475178,98.9,20.62092117,9.22,1.92239528,12.43,2.59168908,22426783.5254969,22035.880476090297,"Block Group 1, Census Tract 96.01, District of Columbia, District of Columbia",187,35057,2086.0,2004.0,65.0,1880.0,5.0,1.0,0.0,53.0
297,110010096021,115.63,115.57,22.21,19.21779008,15.11,13.07432725,12.1,10.46984512,77.77,67.29254997,36.19,31.31435494,5.38,4.65518733,24.1,20.85316259,0.05,0.04701548,0.49,0.42398546,22.21,19.21779008,15.08,13.04836895,44.15,38.20195552,29.07,25.15358657,48.3,41.79285282,49.22,42.58890716,0.47,0.40667993,0.46,0.39802717,5036396.68899827,11654.039604861598,"Block Group 1, Census Tract 96.02, District of Columbia, District of Columbia",123,31161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
298,110010076042,202.15,202.15,120.3,59.51026466,23.39,11.57061588,14.42,7.13331684,58.45,28.91417264,28.46,14.07865446,4.09,2.02325006,11.48,5.67895127,0.0,0.0,0.01,0.00494682,120.3,59.51026466,22.81,11.28370022,37.87,18.73361365,15.06,7.44991343,42.88,21.21197131,43.99,21.76106851,0.01,0.00494682,1.09,0.53920356,8805883.63607633,16998.1471988781,"Block Group 2, Census Tract 76.04, District of Columbia, District of Columbia",0,110194,1130.0,1071.0,61.0,980.0,12.0,4.0,0.0,14.0
299,110010076043,94.63,94.63,61.44,64.92655606,9.81,10.36669132,7.16,7.5663108999999995,23.37,24.69618514,9.28,9.80661524,2.4,2.5361936000000003,4.54,4.79763289,0.0,0.0,0.0,0.0,61.44,64.92655606,9.77,10.32442143,16.34,17.2672514,6.57,6.94282997,16.43,17.36235866,16.85,17.80619254,0.0,0.0,0.42,0.44383388,4121980.35236396,8535.13188355491,"Block Group 3, Census Tract 76.04, District of Columbia, District of Columbia",43,50188,614.0,605.0,13.0,590.0,1.0,1.0,0.0,0.0
300,110010076051,32.16,32.16,6.26,19.46517413,9.05,28.14054726,6.19,19.24751244,16.86,52.42537313,5.58,17.35074627,1.04,3.23383085,4.05,12.59328358,0.0,0.0,0.0,0.0,6.26,19.46517413,9.05,28.14054726,14.14,43.96766169,5.09,15.82711443,11.77,36.59825871,11.77,36.59825871,0.0,0.0,0.0,0.0,1400958.29525121,4832.2016686796205,"Block Group 1, Census Tract 76.05, District of Columbia, District of Columbia",25,52279,747.0,702.0,31.0,653.0,4.0,4.0,0.0,10.0
301,110010076052,59.21,59.21,30.61,51.69734842,7.61,12.85255869,6.99,11.80543827,20.99,35.45009289,8.84,14.92991049,2.15,3.63114339,3.0,5.0667117,0.0,0.0,0.0,0.0,30.61,51.69734842,7.61,12.85255869,12.68,21.41530147,5.06,8.54585374,15.83,26.73534876,15.92,26.88735011,0.0,0.0,0.09,0.15200135,2579263.52048875,8180.502076762929,"Block Group 2, Census Tract 76.05, District of Columbia, District of Columbia",130,33590,729.0,691.0,19.0,650.0,12.0,3.0,0.0,7.0
302,110010076053,20.75,20.75,6.42,30.93975904,2.38,11.46987952,4.45,21.44578313,11.95,57.59036145,4.87,23.46987952,0.82,3.95180723,1.82,8.77108434,0.0,0.0,0.0,0.0,6.42,30.93975904,2.22,10.69879518,4.82,23.22891566,2.6,12.53012048,9.32,44.91566265,9.51,45.831325299999996,0.0,0.0,0.19,0.91566265,903866.874602659,4198.7024047334,"Block Group 3, Census Tract 76.05, District of Columbia, District of Columbia",65,94605,1223.0,1194.0,11.0,1148.0,5.0,19.0,0.0,11.0
